RUT;Sueldo Base
10288764-7;788615
23215743-5;955462
13242572-5;956738
13136886-8;537090
15127186-8;981024
10711458-3;937476
15560100-5;719602
19757202-3;1151271
10067136-9;464453
22293099-2;756782
10208437-8;1161417
16948877-5;883262
20806328-2;999426
22145355-8;482516
19368099-8;899886
13281035-9;621917
21195348-7;651600
20265560-5;962653
13833036-4;676116
21894246-0;809262
24788856-4;988641
10339713-2;700192
16880199-4;526836
22980702-3;982005
16908342-4;475296
11327423-2;659496
14103845-2;750056
10738913-1;782372
21206256-8;910488
13122838-2;652361
21797916-7;527683
15662965-2;441383
15191750-3;1034037
14852268-6;584024
15989399-4;421964
